Prompt,Output File,Score String,Total Score
basic,004_Task List 6_basic_gpt-4o-mini_20250125112054572683.txt,"5,5,3,1,5",19
basic,008_Task List 7_basic_gpt-4o-mini_20250125112108302173.txt,"4,5,2,3,4",18
basic,015_Task List 5_basic_gpt-4o-mini_20250125112140349814.txt,"4,5,2,3,4",18
basic,005_Task List 2_basic_gpt-4o-mini_20250125112101617978.txt,"4,5,3,1,4",17
basic,012_Task List Study_basic_gpt-4o-mini_20250125112122945237.txt,"4,4,2,1,5",16
basic,003_Task List Laundry_basic_gpt-4o-mini_20250125112052435773.txt,"4,4,2,1,5",16
basic,009_Task List 8_basic_gpt-4o-mini_20250125112109631848.txt,"3,4,2,3,3",15
basic,010_Task List Home_basic_gpt-4o-mini_20250125112116393443.txt,"4,4,2,1,4",15
basic,006_Task List 3_basic_gpt-4o-mini_20250125112103284153.txt,"4,5,1,1,4",15
basic,013_Task List 4_basic_gpt-4o-mini_20250125112125726447.txt,"4,5,1,1,2",13
basic,011_Task List 9_basic_gpt-4o-mini_20250125112117930963.txt,"3,4,1,2,2",12
basic,007_Task List 10_basic_gpt-4o-mini_20250125112104817057.txt,"3,3,2,1,3",12
basic,016_Task List 1_basic_gpt-4o-mini_20250125112143436121.txt,"2,4,2,1,2",11
neurodivergent-friendly(claude),032_Task List 6_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112236326364.txt,"5,5,3,5,5",23
neurodivergent-friendly(claude),034_Task List 3_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112306562352.txt,"5,5,3,4,5",22
neurodivergent-friendly(claude),038_Task List Home_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112341602336.txt,"4,5,3,5,5",22
neurodivergent-friendly(claude),040_Task List Study_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112400948213.txt,"5,5,2,4,5",21
neurodivergent-friendly(claude),033_Task List 2_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112255112773.txt,"5,5,1,5,5",21
neurodivergent-friendly(claude),039_Task List 9_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112349230978.txt,"5,5,2,4,5",21
neurodivergent-friendly(claude),037_Task List 8_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112332862751.txt,"4,5,2,4,5",20
neurodivergent-friendly(claude),036_Task List 7_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112325071911.txt,"4,5,2,4,5",20
neurodivergent-friendly(claude),035_Task List 10_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112314156058.txt,"4,5,1,4,5",19
neurodivergent-friendly(claude),031_Task List Laundry_neurodivergent-friendly(claude)_gpt-4o-mini_20250125112227055812.txt,"5,5,1,3,4",18
short,024_Task List Home_short_tick_tick_prompt_B_gpt-4o-mini_20250125112202574781.txt,"4,5,2,1,5",17
short,026_Task List Study_short_tick_tick_prompt_B_gpt-4o-mini_20250125112205834990.txt,"3,4,2,2,4",15
short,029_Task List 5_short_tick_tick_prompt_B_gpt-4o-mini_20250125112212482547.txt,"3,4,2,3,3",15
short,022_Task List 7_short_tick_tick_prompt_B_gpt-4o-mini_20250125112157913895.txt,"4,5,2,1,3",15
short,019_Task List 2_short_tick_tick_prompt_B_gpt-4o-mini_20250125112154627741.txt,"4,4,1,1,5",15
short,023_Task List 8_short_tick_tick_prompt_B_gpt-4o-mini_20250125112159059210.txt,"4,4,2,2,3",15
short,020_Task List 3_short_tick_tick_prompt_B_gpt-4o-mini_20250125112155869595.txt,"4,5,1,1,3",14
short,018_Task List 6_short_tick_tick_prompt_B_gpt-4o-mini_20250125112147314384.txt,"3,4,2,1,4",14
short,017_Task List Laundry_short_tick_tick_prompt_B_gpt-4o-mini_20250125112146294497.txt,"3,5,2,1,3",14
short,025_Task List 9_short_tick_tick_prompt_B_gpt-4o-mini_20250125112203698438.txt,"4,4,2,1,3",14
short,030_Task List 1_short_tick_tick_prompt_B_gpt-4o-mini_20250125112215526252.txt,"3,4,2,1,3",13
short,021_Task List 10_short_tick_tick_prompt_B_gpt-4o-mini_20250125112156702314.txt,"3,4,1,1,3",12
short,027_Task List 4_short_tick_tick_prompt_B_gpt-4o-mini_20250125112207296902.txt,"3,5,1,1,2",12
task,028_example_task_short_tick_tick_prompt_B_gpt-4o-mini_20250125112209598493.txt,"5,5,3,1,5",19
task,014_example_task_basic_gpt-4o-mini_20250125112132876551.txt,"5,5,1,1,5",17
